Name,PlayerId,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD
Jose Quintana,11423,NYM,4.4112,4.7434,6.1683,4.17681,13.32,13.32,0,0,75.5718,326.585,76.3442,38.0178,35.0721,9.48006,26.3012,,2.9207,61.6207,7.33854,3.13226,2.34289,1.129,0.188682,0.080534,0.108147956,0.256737,1.35825,0.295516,0.72312,,,4.32924,0.540507,0.7157,394.7200012,,,
Griffin Canning,19867,LAA,3.5225,4.5247,4.9135,4.57116,11.68,11.68,0,0,66.3374,286.06,67.8991,36.0679,33.6932,10.5403,22.1874,,2.8783,56.391,7.65057,3.01017,2.54158,1.43,0.19713,0.0775621,0.119567908,0.260155,1.358,0.295568,0.717092,,,4.6682,0.540004,0.564397,267.75,,,
Ryan Feltner,21446,COL,2.8834,4.3651,3.4715,4.99152,10.8,10.8,0,0,57.8188,251.824,61.8619,34.2284,32.0671,8.96191,20.9762,,2.4435,49.0241,7.63103,3.26513,2.33713,1.395,0.194676,0.0832971,0.111378975,0.270844,1.43272,0.310413,0.691545,,,4.70359,0.536385,0.693016,740.960022,,,
Merrill Kelly,11156,ARI,2.5511,2.4752,3.6931,4.01852,7.2,7.2,0,0,42.2857,180.092,41.0944,20.4224,18.8806,4.92863,14.427,,1.2264,40.1806,8.55195,3.07061,2.7851,1.049,0.223112,0.0801091,0.143002465,0.249907,1.31301,0.303075,0.721885,,,3.89455,0.526252,0.636798,139.8600006,,,
Jared Jones,27863,PIT,2.4139,2.6124,3.5545,3.9906,7.3,7.3,0,0,41.5678,176.884,37.9556,19.8693,18.4312,5.36686,14.949,,2.207,41.3618,8.9554,3.23666,2.76686,1.162,0.233836,0.084513,0.149322726,0.237626,1.27273,0.288398,0.727794,,,4.09574,0.518473,0.645765,999,,,
Jordan Hicks,19618,SFG,3.7605,4.2904,4.9258,3.96658,15.7427,11.36,0,0.2773,65.5109,282.041,61.7609,31.5615,28.8727,6.14347,28.9028,,3.6104,60.7418,8.34481,3.97072,2.10159,0.844,0.215365,0.102477,0.112887837,0.247511,1.38395,0.304515,0.720207,,,4.02283,0.513415,0.683183,320.0700073,,,
Tyler Anderson,12880,LAA,4.0917,5.7234,6.2164,4.77779,13.87,13.87,0,0,83.0612,362.871,85.9477,46.9975,44.0943,13.1975,31.0425,,3.3584,62.2371,6.74363,3.36357,2.0049,1.43,0.171513,0.0855469,0.08596608,0.261661,1.40848,0.28751,0.710487,,,4.97867,0.50436,0.537769,578.0700073,,,
David Peterson,20302,NYM,2.8657,2.5036,3.1055,3.46807,16.2526,6.66,0,0.3037,44.9474,190.922,40.9639,19.1171,17.3201,4.53969,17.1883,,2.2655,44.4451,8.89942,3.44168,2.58578,0.909,0.232792,0.0900279,0.142764069,0.238901,1.29378,0.297381,0.753622,,,3.803,0.497106,0.709555,718.5599976,,,
David Robertson,8241,TEX,1.6273,1.2546,0,3.03948,29.3333,0,2.068,5.0077,29.3333,120.169,23.0169,10.8114,9.90645,2.91052,9.3123,,1.2885,37.859,11.6158,2.85719,4.06548,0.893,0.315048,0.0774934,0.237554617,0.210069,1.10213,0.29225,0.761571,,,2.96198,0.496729,0.424688,339.2900085,,,
Gavin Stone,27792,LAD,3.5772,3.3771,4.1689,4.12301,15.8041,9.23,0,0.282,58.4724,248.87,56.7889,28.9799,26.7869,7.89377,20.2549,,1.8506,52.2204,8.0377,3.11761,2.57816,1.215,0.20983,0.0813875,0.128442571,0.250431,1.31761,0.2934,0.728323,,,4.27221,0.492698,0.550241,344.2900085,,,
Colin Rea,12317,,3.6444,4.7062,5.1343,4.60022,12.07,12.07,0,0,69.138,298.009,71.8989,37.9283,35.3389,10.6242,20.742,,2.9324,55.8543,7.2708,2.70008,2.69281,1.383,0.187425,0.0696019,0.11782296,0.262085,1.33994,0.294794,0.703545,,,4.57841,0.492389,0.490737,489.8299866,,,
Dean Kremer,19350,BAL,4.0433,4.3152,5.2268,4.39451,12.24,12.24,0,0,68.5327,293.251,68.4268,35.8778,33.4631,10.3484,22.1313,,2.4618,59.8507,7.85984,2.90637,2.70435,1.359,0.204094,0.0754688,0.128624961,0.254699,1.32139,0.292647,0.718813,,,4.46214,0.481721,0.531238,313.7000122,,,
Joe Musgrove,12970,SDP,2.3939,2.2434,3.3547,3.793,6.8,6.8,0,0,38.0798,159.664,35.819,17.397,16.0485,4.8319,9.8265,,2.6782,36.1557,8.54525,2.32245,3.67941,1.142,0.226449,0.0615449,0.164903801,0.243403,1.19868,0.291858,0.726541,,,3.90497,0.476694,0.573318,93.05000305,,,
Luis Garcia,23735,HOU,2.3256,2.1942,2.508,4.10514,11.9822,5.76,0,0.2977,38.1164,160.282,35.2271,18.614,17.3859,5.64123,12.1524,,1.2145,38.0268,8.97884,2.86941,3.12916,1.332,0.237249,0.0758189,0.161430471,0.239779,1.24302,0.286554,0.728577,,,4.14997,0.47342,0.392998,726.0200195,,,
Trevor Rogers,22286,MIA,3.5579,4.7411,4.961,4.4265,12.24,12.24,0,0,67.1631,291.507,68.2227,35.6189,33.0331,8.27599,26.0176,,3.0145,56.9622,7.63306,3.48641,2.18937,1.109,0.195406,0.0892521,0.106153883,0.259921,1.40316,0.303933,0.709239,,,4.37165,0.473246,0.570918,321.6300049,,,
Albert Suárez,6175,BAL,3.5823,3.834,4.0234,4.3812,16.3022,10.08,0,0.311,61.2818,262.531,61.558,31.9768,29.832,9.19908,18.6425,,2.4056,52.9252,7.77273,2.73788,2.83895,1.351,0.201596,0.0710107,0.13058535,0.254917,1.30872,0.291923,0.716316,,,4.42378,0.465622,0.385153,731.7199707,,,
Kyle Freeland,16256,COL,3.2983,5.6267,4.3869,5.25737,12.96,12.96,0,0,73.0735,322.051,85.2717,45.4908,42.686,12.1302,21.7968,,3.1297,52.5672,6.47437,2.68457,2.41169,1.494,0.163226,0.0676812,0.095545113,0.28699,1.46522,0.314686,0.683542,,,4.91181,0.465056,0.675768,654.3900146,,,
Ronel Blanco,19407,HOU,3.9788,4.107,5.0877,4.37537,16.1333,10.8,0,0.2977,69.0373,297.576,64.5804,36.0246,33.5626,10.2252,29.7813,,2.2309,66.2179,8.63245,3.88242,2.22347,1.333,0.222524,0.10008,0.122444697,0.243182,1.36682,0.28741,0.728791,,,4.56742,0.463489,0.552186,617.2299805,,,
Kyle Harrison,27758,SFG,3.3429,3.879,4.7523,4.08289,10.65,10.65,0,0,58.6426,252.01,53.6744,28.6272,26.6035,7.38897,23.7809,,3.5077,57.9539,8.8943,3.6497,2.43699,1.134,0.229967,0.0943649,0.135601766,0.238849,1.3208,0.290412,0.727575,,,4.22671,0.459084,0.620732,235.3999939,,,
Paul Blackburn,14739,OAK,2.6708,3.5039,3.9474,4.18351,9.1,9.1,0,0,50.0305,214.355,50.7882,25.2514,23.2559,6.18711,15.8196,,1.8501,40.5406,7.29286,2.84579,2.56268,1.113,0.189128,0.0738009,0.115327388,0.258221,1.33134,0.297425,0.713708,,,4.21578,0.456599,0.470002,545.75,,,
