Name,PlayerId,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD
Chase Silseth,30074,LAA,3.45733,4.27247,3.66956,4.76926,12,12,0,0.3541,59.028,254.6,57.9643,33.45,31.28,9.52517,22.2697,0.156826,2.63074,56.5128,8.61651,3.39545,2.53766,1.4523,0.221967,0.0874692,0.134497799,0.252348,1.35925,0.295971,0.699325,,,4.60274,0.434724,0.314401,352.230011,,,
Mike Clevinger,12808,CHW,3.00831,5.10734,4.53594,4.91967,12,12,0,0,63.864,273.31,62.906,37.44,34.91,11.2705,20.717,0.195754,2.77032,51.8591,7.30822,2.91953,2.50322,1.58829,0.189745,0.0758002,0.113944449,0.251802,1.30939,0.276579,0.68072,,,4.92768,0.423678,0.224679,487.25,,,
Jonathan Cannon,31730,CHW,2.9052,4.96137,2.73817,4.8314,25,10,0,0.3299,61.1748,263.78,64.4016,35.32,32.84,8.77541,19.0239,0.535058,2.71821,47.0625,6.92381,2.79879,2.47386,1.29103,0.178416,0.0721204,0.106295332,0.266081,1.36372,0.298744,0.67621,,,4.54665,0.403676,0.0895457,999,,,
Ronel Blanco,19407,HOU,5.15124,4.89648,3.73889,4.65107,21,14,0,0.3712,72.9704,312.54,66.826,40.42,37.71,12.6193,29.5638,0.348216,3.04562,70.7317,8.72388,3.64633,2.39251,1.55644,0.226312,0.0945919,0.131720409,0.238723,1.32094,0.275749,0.710974,,,4.80443,0.396899,0.402187,617.2299805,,,
Jakob Junis,13619,MIL,2.27895,2.80085,1.58701,4.57625,20,6,0,0.3405,41.7525,177.12,42.2237,22.8,21.23,6.44548,10.8788,0.376845,1.9053,39.1576,8.44064,2.34498,3.59945,1.38936,0.221079,0.0614203,0.159659084,0.256935,1.27184,0.301334,0.687461,,,4.20394,0.392483,0.135797,543.8200073,,,
Drew Thorpe,31967,CHW,2.96357,5.06798,4.22233,4.83063,12,12,0,0,62.172,266.03,63.1296,35.94,33.37,10.0491,19.7192,0.175344,2.41673,44.535,6.44688,2.85455,2.25846,1.4547,0.167406,0.074124,0.093282089,0.25884,1.33257,0.280389,0.682011,,,4.89094,0.39049,0.201909,999,,,
Marco Gonzales,15467,PIT,2.67637,4.00098,2.45178,4.88441,15,9,0,0.3483,48.055,208.02,51.5613,28,26.08,6.5753,14.9776,0.319098,1.85258,32.3317,6.05526,2.80509,2.15867,1.23146,0.155426,0.0720008,0.083425157,0.269686,1.38464,0.295411,0.672188,,,4.63807,0.390326,0.0810675,634.2199707,,,
Lance McCullers Jr.,14120,HOU,2.73889,2.21926,1.53392,4.16255,20,6,0,0.3712,42.1184,180.83,38.9023,20.95,19.48,4.41263,17.4376,0.350424,2.75883,38.8609,8.30393,3.72613,2.22857,0.942907,0.214903,0.0964309,0.118472084,0.24218,1.33766,0.293879,0.705509,,,4.10943,0.389041,0.341548,688.9099731,,,
Ryan Feltner,21446,COL,3.2822,5.37659,4.80458,5.43015,13,13,0,0,67.639,298.12,75.4985,43.68,40.81,10.8067,23.8109,0.188516,2.86748,54.3633,7.23354,3.16827,2.28312,1.43793,0.182354,0.0798703,0.102483407,0.278139,1.46823,0.313624,0.660839,,,4.80706,0.388289,-0.203971,740.960022,,,
Mitchell Parker,27636,WSN,2.30196,4.79031,2.45806,4.78032,21,9,0,0.3544,52.9985,230.49,54.6804,30.23,28.15,7.351,19.9735,0.427755,1.79273,43.2704,7.34801,3.39181,2.16639,1.24832,0.187732,0.0866565,0.101075575,0.261975,1.4086,0.299359,0.690214,,,4.55654,0.386233,0.130096,999,,,
Carlos Rodriguez,30161,MIL,2.4592,2.94012,3.02855,4.52091,8,8,0,0,43.04,182.82,40.3348,23.21,21.62,6.76813,14.7008,0.121532,2.07427,35.4653,7.41607,3.07406,2.41247,1.41527,0.19399,0.0804116,0.11357861,0.242915,1.27871,0.271111,0.698539,,,4.71975,0.383205,0.33412,999,,,
