,R,HR,RBI,SB,OBP,SLG,K,QS,SV,ERA,WHIP,K/BB,L
20,-1.5954510549433611,-1.539874331672007,-2.1672486352924625,-1.5964516021855486,1.3432193119299716,1.3271969000262815,-1.5193568063138965,-0.37872426244850005,-0.9162542300681625,-0.388569010371585,-0.8510244307586277,0.8327584568823161,0.0
21,0.594050924712953,0.6282687273221789,0.6371794827165455,0.37520291111273263,-0.8308195744090123,-0.3070978742515503,0.4944385752200152,0.12624142081616668,-1.5256184891014466,2.235238719914565,2.0345683410851803,-0.29818623780758224,0.0
22,-2.015529923133235,-0.5543547594019225,-1.3623903413347203,-0.8607596196115631,-2.378998781347381,-1.1723127547515757,-2.073488421366852,-2.314426048296389,0.8323562523751741,0.1188655035045103,0.3437913263329487,-1.0291949866001155,0.0
23,-0.23337714899437503,1.2195804706842295,0.6874831260889044,-0.27220603355237466,-0.7978795912826615,0.4780045173132919,-0.010136553933895528,0.37872426244850005,-1.2076893104753854,0.988311225450745,0.8622962775236364,-1.4476710094596092,0.0
24,1.0325192161879873,1.4200170552969837,0.867842025053883,0.7798383108752001,-0.8729750334944344,0.4259960112754617,0.3132825202181354,0.5037523978531016,0.14049358799405604,0.22949974988636207,0.34721083119755863,-0.761018278626058,0.0
25,-0.41342318716581516,1.1991936687281222,0.977753416089731,0.936458557410805,-1.4948202628329403,-0.785407772049056,1.5933326887571133,1.175422261657237,0.30105768855869147,-1.5371701997596952,-1.9471338683457773,1.3926554137898166,0.0
26,1.4812599620564089,0.5735274067830146,0.1946347549593137,-1.3345350173554673,0.8394910596069854,0.11670142829898981,1.4560402416582954,1.3193515181866946,1.558809809648336,-0.6693742705018894,-0.9009126853540173,0.42189503302922804,0.0
27,1.4313998791821398,0.6471352023059684,1.527310371268971,0.1925123863666813,0.8107905105605907,2.006834990932986,0.902832440113059,0.35982314132364396,-0.23415597999009338,-0.9753739370170378,-0.40533423025265825,1.440871988993156,0.0
28,-0.5630034357886223,0.6839391000674454,-0.1625772659071924,-0.2773483532401336,-0.8825418831765695,-0.1668186060961122,0.42634688841716184,0.7916109109120167,-1.4651474176522985,1.125983147879962,1.0263368622623847,-0.08920066412618184,0.0
29,-0.4383532286029497,-0.530589526061293,0.2633293743567187,0.2708225096344838,-0.49986789589133507,-0.7252671586925216,0.030621599720569354,-0.2158938847941864,0.8897927239623549,-0.5809212418998543,-0.42368898784900294,-0.26920921155198646,0.0
30,0.683498636068104,0.38950791797563,-0.2724886569430405,0.38828769453618756,0.5524855691430596,0.9414869829029164,0.2809784150184136,0.45577597900994904,0.6221858896879624,-0.9108271323614993,-0.5521722910234319,-0.6035107996284793,0.0
31,-1.1862544717169854,-1.009040196960493,-1.687597816529584,0.8189933725091013,-0.5094347455734649,-0.42456409190983957,-0.8213991749220941,-2.086974219677135,0.9165534073897941,0.7506554319199754,0.6041774375464125,-0.5038632108749099,0.0
32,-0.08933264848306632,-0.38337393501538525,-1.1380408613503437,-1.8827058802300847,1.0595286022959973,0.7610651428333035,-1.047527911320147,-0.0719646282647288,-1.3581046839425417,-0.6837180048697865,-0.9009126853540173,1.437657550646267,0.0
33,0.18489780732541344,0.02146894036086084,1.087664807125579,1.0539237423125087,0.6003198175537139,0.49472814082578614,-0.9506155957209814,-0.5037523978531016,-1.2778226336602239,0.8104209917862153,1.2282391958222005,-1.7960674263244338,0.0
34,-1.7097853418968105,-1.1930596857678775,-0.6709174494479896,-1.3736900789893685,-1.121713125229841,-1.6531509076219373,-0.8617793064217464,-0.35982314132364396,-0.6623269148291213,1.4248109472111625,1.0997558926477715,-0.259565896511318,0.0
35,-0.41342318716581516,-1.8187259477129851,-0.9869126986760527,0.4274427561700888,1.5187373870382754,-0.9916041607000389,-1.3221128055177827,-1.367327937029847,0.5686645228330839,1.016014517726082,0.8244345287025729,-0.4106444988151172,0.0
