,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_poly__degree,param_poly__interaction_only,param_ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.012481307983398438,0.018212898717392387,0.003124046325683594,0.006248092651367188,1,True,0.001,"{'poly__degree': 1, 'poly__interaction_only': True, 'ridge__alpha': 0.001}",-0.0006535888559281595,-0.00040668892711185034,-0.00043800573507803316,-0.0003510751167558851,-0.0005949752135800207,-0.0004888667696907897,0.0001155153235119287,1
1,0.003402042388916016,0.004177134674775161,0.004939031600952148,0.006394247019401018,1,True,0.01,"{'poly__degree': 1, 'poly__interaction_only': True, 'ridge__alpha': 0.01}",-0.0006535777479671073,-0.00040657791637488665,-0.0004382331957546973,-0.0003508612071551265,-0.0005952213064351132,-0.0004888942747373862,0.00011560427288692757,3
2,0.00321345329284668,0.003935670325486731,0.003131675720214844,0.006263351440429688,1,True,0.1,"{'poly__degree': 1, 'poly__interaction_only': True, 'ridge__alpha': 0.1}",-0.0006537988840608217,-0.00040631601682133143,-0.0004399809027338497,-0.0003497616066465886,-0.0005971920992221917,-0.0004894099018969566,0.00011618107038471374,5
3,0.0031238079071044924,0.006247615814208986,0.003125715255737305,0.00625143051147461,1,True,0.25,"{'poly__degree': 1, 'poly__interaction_only': True, 'ridge__alpha': 0.25}",-0.0006543589737640216,-0.00040650277874642714,-0.00044169818564618633,-0.00034902667283923144,-0.0005990754130215576,-0.0004901324048034848,0.00011669581014341627,7
4,0.0031242847442626955,0.006248569488525391,0.003123903274536133,0.006247806549072266,1,True,1.0,"{'poly__degree': 1, 'poly__interaction_only': True, 'ridge__alpha': 1.0}",-0.0006560064580944447,-0.0004063283414152963,-0.00044543741764902184,-0.0003466038853329077,-0.0006025965365234866,-0.0004913945278030315,0.00011813180479862413,9
5,0.003124094009399414,0.006248188018798828,0.0031177520751953123,0.006235504150390625,1,True,2.5,"{'poly__degree': 1, 'poly__interaction_only': True, 'ridge__alpha': 2.5}",-0.0006582494221212651,-0.00040484344281236447,-0.0004497998095850423,-0.00034311789867781244,-0.0006061668891933995,-0.0004924354924779767,0.00012017903502793744,11
6,0.00486149787902832,0.006345376865034349,0.001607370376586914,0.003214740753173828,1,True,5,"{'poly__degree': 1, 'poly__interaction_only': True, 'ridge__alpha': 5}",-0.0006622324956105941,-0.000402754489078356,-0.00045598211439066693,-0.00033974510161207923,-0.0006113806467319288,-0.000494418969484725,0.000123000152597997,13
7,0.0033983230590820313,0.0032944090527778705,0.0,0.0,1,True,10.0,"{'poly__degree': 1, 'poly__interaction_only': True, 'ridge__alpha': 10.0}",-0.0006713573797906352,-0.0004000597342213263,-0.00046729242362295514,-0.00033666722860444675,-0.0006218672794510625,-0.0004994488091380851,0.0001280225783530454,15
8,0.0031236648559570313,0.006247329711914063,0.003132009506225586,0.006264019012451172,1,True,20,"{'poly__degree': 1, 'poly__interaction_only': True, 'ridge__alpha': 20}",-0.0006914446504362606,-0.0003976010138241317,-0.0004880277140582591,-0.00033509952970904654,-0.0006429608251211487,-0.0005110267466297693,0.00013733314173679283,17
9,0.0031243324279785155,0.006248664855957031,0.003117656707763672,0.006235313415527344,1,True,25,"{'poly__degree': 1, 'poly__interaction_only': True, 'ridge__alpha': 25}",-0.0007016706774700068,-0.0003970871764214578,-0.000497771493332383,-0.00033514276977620103,-0.0006532414512235063,-0.000516982713644711,0.0001417644973655569,19
10,0.0,0.0,0.002401256561279297,0.004802513122558593,1,False,0.001,"{'poly__degree': 1, 'poly__interaction_only': False, 'ridge__alpha': 0.001}",-0.0006535888559281595,-0.00040668892711185034,-0.00043800573507803316,-0.0003510751167558851,-0.0005949752135800207,-0.0004888667696907897,0.0001155153235119287,1
11,0.0031250953674316407,0.006250190734863282,0.0,0.0,1,False,0.01,"{'poly__degree': 1, 'poly__interaction_only': False, 'ridge__alpha': 0.01}",-0.0006535777479671073,-0.00040657791637488665,-0.0004382331957546973,-0.0003508612071551265,-0.0005952213064351132,-0.0004888942747373862,0.00011560427288692757,3
12,0.007423114776611328,0.0065508437102318505,0.0,0.0,1,False,0.1,"{'poly__degree': 1, 'poly__interaction_only': False, 'ridge__alpha': 0.1}",-0.0006537988840608217,-0.00040631601682133143,-0.0004399809027338497,-0.0003497616066465886,-0.0005971920992221917,-0.0004894099018969566,0.00011618107038471374,5
13,0.0034044742584228515,0.0041802717652459345,0.0015913963317871094,0.003182792663574219,1,False,0.25,"{'poly__degree': 1, 'poly__interaction_only': False, 'ridge__alpha': 0.25}",-0.0006543589737640216,-0.00040650277874642714,-0.00044169818564618633,-0.00034902667283923144,-0.0005990754130215576,-0.0004901324048034848,0.00011669581014341627,7
14,0.004542207717895508,0.0061939333257047995,0.0,0.0,1,False,1.0,"{'poly__degree': 1, 'poly__interaction_only': False, 'ridge__alpha': 1.0}",-0.0006560064580944447,-0.0004063283414152963,-0.00044543741764902184,-0.0003466038853329077,-0.0006025965365234866,-0.0004913945278030315,0.00011813180479862413,9
15,0.0,0.0,0.0031249523162841797,0.006249904632568359,1,False,2.5,"{'poly__degree': 1, 'poly__interaction_only': False, 'ridge__alpha': 2.5}",-0.0006582494221212651,-0.00040484344281236447,-0.0004497998095850423,-0.00034311789867781244,-0.0006061668891933995,-0.0004924354924779767,0.00012017903502793744,11
