Season,Name,Team,Spd,GB/FB,LD%,GB%,FB%,IFFB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,EV,LA,Barrel%,maxEV,HardHit%,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,wOBA,K%,BB%,NameASCII,PlayerId,MLBAMID
2015,Alex Rodriguez,NYY,3.318735762,1.114093959,0.181818181,0.431168831,0.387012987,0.073825503,0.4571,0.3688,0.174,0.1221,0.5221,0.3558,91.33429115,12.15649158,0.1065,116.542,0.4338,0.2678,0.6764,0.4415,0.5875,0.765,0.7031,0.425,0.6032,0.1302,0.1546,0.2849,0.361004647,0.233870967,0.13548387,Alex Rodriguez,1274,121347
2015,Mark Teixeira,NYY,2.051207527,0.916666666,0.189102564,0.387820512,0.423076923,0.09090909,0.5545,0.2885,0.1571,0.1667,0.4808,0.3526,89.61842105,15.5501966,0.0865,111.189,0.4135,0.2471,0.6796,0.4333,0.6429,0.874,0.799,0.4305,0.6017,0.0865,0.1603,0.2468,0.381079205,0.183982683,0.127705627,Mark Teixeira,1281,407893
2015,Jayson Werth,WSN,2.981519498,0.783783783,0.217391304,0.343873517,0.438735177,0.108108108,0.3557,0.3281,0.3162,0.1858,0.4704,0.3439,90.02239844,15.42932031,0.0751,112.746,0.4032,0.2485,0.5303,0.3787,0.6571,0.8494,0.7815,0.4621,0.5767,0.0827,0.2438,0.3265,0.300234526,0.222222222,0.1005291,Jayson Werth,1327,150029
2015,Wilson Ramos,WSN,0.930900615,2.231578947,0.196335078,0.554973821,0.248691099,0.063157894,0.3586,0.3743,0.267,0.1545,0.5812,0.2644,90.52872548,4.470584951,0.0576,114.187,0.445,0.3635,0.7442,0.5381,0.6046,0.8727,0.7746,0.4585,0.6587,0.1207,0.1274,0.248,0.264609485,0.200396825,0.041666666,Wilson Ramos,1433,467092
2015,Michael Cuddyer,NYM,3.284226798,1.65116279,0.219178082,0.486301369,0.294520547,0.127906976,0.3973,0.3322,0.2705,0.1918,0.5034,0.3048,87.45373665,7.773024807,0.0445,110.379,0.3082,0.3694,0.6838,0.5141,0.6086,0.8854,0.7781,0.4603,0.6054,0.1141,0.1613,0.2754,0.306356716,0.215686274,0.058823529,Michael Cuddyer,1534,150212
2015,Omar Infante,KCR,4.975227418,1.092857142,0.210242587,0.412398921,0.37735849,0.1,0.435,0.3448,0.2202,0.1989,0.565,0.2361,84.20646067,14.40898904,0.008,104.656,0.2069,0.3448,0.6134,0.4733,0.6393,0.9103,0.8073,0.4785,0.622,0.0912,0.2068,0.298,0.237569823,0.151648351,0.019780219,Omar Infante,1609,408299
2015,Chase Utley,- - -,4.35524065,1.201754385,0.200636942,0.436305732,0.363057324,0.087719298,0.4069,0.3912,0.2019,0.1577,0.5363,0.306,88.61491628,13.34162888,0.0189,104.884,0.3438,0.2553,0.6093,0.4116,0.7467,0.9329,0.8684,0.4415,0.5887,0.0537,0.2067,0.2603,0.273949374,0.151300236,0.075650118,Chase Utley,1679,400284
2015,José Reyes,- - -,5.639328141,1.228187919,0.2,0.440963855,0.359036144,0.2147651,0.4223,0.3573,0.2204,0.2506,0.5522,0.1972,84.59800849,13.38017402,0.0023,108.414,0.1856,0.3466,0.6985,0.4981,0.7472,0.917,0.8497,0.4304,0.6108,0.0748,0.1652,0.24,0.300452536,0.1194605,0.050096339,Jose Reyes,1736,408314
2015,Jhonny Peralta,STL,1.776653824,1.412162162,0.246835443,0.44092827,0.312236286,0.054054054,0.4262,0.3481,0.2257,0.135,0.5401,0.3249,88.08658997,13.17105512,0.038,109.409,0.3354,0.3227,0.7572,0.5039,0.6571,0.8639,0.7867,0.4171,0.6031,0.1064,0.1191,0.2255,0.322513604,0.1734375,0.078125,Jhonny Peralta,1738,425509
2015,Miguel Cabrera,DET,1.898688236,1.289473684,0.252148997,0.421203438,0.326647564,0.035087719,0.3582,0.3066,0.3352,0.1032,0.4957,0.4011,93.76392962,12.20020534,0.0946,115.634,0.5272,0.2952,0.7045,0.4634,0.6627,0.862,0.7872,0.411,0.5753,0.0957,0.1411,0.2368,0.413315243,0.160469667,0.150684931,Miguel Cabrera,1744,408234
2015,David DeJesus,- - -,3.858342931,1.333333333,0.235294117,0.436974789,0.327731092,0.089743589,0.4202,0.3319,0.2479,0.1891,0.5546,0.2563,86.77235347,12.5741405,0.0168,109.148,0.2647,0.2831,0.6562,0.4526,0.7663,0.938,0.8794,0.4542,0.5647,0.0544,0.1874,0.2418,0.277812928,0.164037854,0.066246056,David DeJesus,1825,430203
2015,Joe Mauer,MIN,2.786249427,2.762886597,0.241164241,0.557172557,0.201663201,0.041237113,0.3045,0.3745,0.321,0.1646,0.537,0.2984,89.54780038,4.384213877,0.0329,107.588,0.3992,0.2715,0.5745,0.4098,0.7468,0.9017,0.8459,0.4565,0.5721,0.0622,0.2188,0.281,0.310597829,0.168168168,0.1006006,Joe Mauer,1857,408045
2015,José Bautista,TOR,4.482248489,0.764976958,0.139325842,0.373033707,0.487640449,0.142857142,0.5326,0.2809,0.1865,0.1708,0.4764,0.3528,92.03538813,16.95130119,0.1213,116.265,0.4584,0.2218,0.6189,0.3939,0.6773,0.8706,0.8089,0.4333,0.53,0.0752,0.1824,0.2576,0.388506581,0.159159159,0.165165165,Jose Bautista,1887,430832
2015,Adam LaRoche,CHW,0.956349203,1.085470085,0.175675675,0.429054054,0.39527027,0.059829059,0.4027,0.406,0.1913,0.1208,0.5403,0.3389,89.57473913,13.19193761,0.0738,109.182,0.3591,0.2643,0.6501,0.431,0.5699,0.8449,0.7491,0.432,0.595,0.108,0.1799,0.2879,0.28309736,0.274793388,0.101239669,Adam LaRoche,1904,425560
2015,Adrián González,LAD,1.229808206,1.017543859,0.259656652,0.373390557,0.366952789,0.070175438,0.4026,0.334,0.2634,0.1456,0.4946,0.3597,88.76359478,14.22021913,0.0769,107.946,0.3718,0.3312,0.7443,0.5027,0.6737,0.8811,0.8011,0.4149,0.5428,0.0986,0.1211,0.2197,0.35422271,0.166407465,0.096423017,Adrian Gonzalez,1908,408236
2015,Alex Rios,KCR,5.608234182,1.048780487,0.222222222,0.398148148,0.379629629,0.073170731,0.4259,0.358,0.216,0.1451,0.5833,0.2716,88.24299612,15.19585987,0.0185,109.448,0.3117,0.3076,0.6662,0.4723,0.6863,0.9126,0.8329,0.4592,0.6131,0.0789,0.1794,0.2583,0.27892559,0.163017031,0.03649635,Alex Rios,2090,425567
2015,David Peralta,ARI,5.635071674,1.958333333,0.213296398,0.520775623,0.265927977,0.0625,0.384,0.4006,0.2155,0.1326,0.5138,0.3536,91.60113093,6.696203994,0.0691,116.047,0.4309,0.3183,0.6829,0.4752,0.6023,0.8843,0.7767,0.4302,0.6267,0.1056,0.156,0.2616,0.379785558,0.206963249,0.085106382,David Peralta,2136,444482
2015,Edwin Encarnación,TOR,2.380689553,0.811224489,0.193181818,0.361363636,0.445454545,0.178571428,0.5023,0.3,0.1977,0.2023,0.4386,0.3591,89.99493268,16.72253474,0.0864,113.993,0.4386,0.257,0.6695,0.4349,0.6493,0.8516,0.7836,0.4313,0.5545,0.0934,0.1629,0.2563,0.391517239,0.157051282,0.123397435,Edwin Encarnacion,2151,429665
2015,Ryan Howard,PHI,1.707046328,0.967213114,0.277108433,0.355421686,0.367469879,0.008196721,0.4759,0.3343,0.1898,0.0843,0.5422,0.3735,91.26327402,14.88518458,0.1111,110.655,0.4505,0.3845,0.7778,0.5473,0.5282,0.8144,0.6966,0.4141,0.5765,0.1655,0.1012,0.2667,0.307707786,0.274353876,0.053677932,Ryan Howard,2154,429667
2015,Kelly Johnson,- - -,2.374786935,1.346666666,0.234782608,0.439130434,0.326086956,0.093333333,0.4043,0.3565,0.2391,0.1913,0.4696,0.3391,86.98595486,12.615507,0.0736,108.665,0.3377,0.3329,0.6591,0.4666,0.6245,0.8822,0.7737,0.4099,0.5642,0.1049,0.1721,0.277,0.323384646,0.241791044,0.068656716,Kelly Johnson,2234,430637
2015,Carlos Santana,CLE,3.932263131,1.2,0.183294663,0.445475638,0.371229698,0.1875,0.5358,0.2864,0.1778,0.2194,0.4827,0.2979,89.17953125,12.46701172,0.067,111.387,0.3949,0.2105,0.579,0.3667,0.6977,0.8951,0.8298,0.4238,0.482,0.0618,0.1886,0.2504,0.330581792,0.183183183,0.162162162,Carlos Santana,2396,467793
2015,Nelson Cruz,SEA,2.459004356,1.344827586,0.203747072,0.456674473,0.339578454,0.103448275,0.3864,0.3653,0.2482,0.1593,0.4848,0.356,92.63205008,9.307060076,0.1311,118.989,0.4754,0.3316,0.7076,0.4871,0.596,0.7934,0.7146,0.4136,0.5924,0.1372,0.1429,0.28,0.395989375,0.250381679,0.090076335,Nelson Cruz,2434,443558
2015,Pedro Alvarez,PIT,2.365042518,1.963855421,0.203883495,0.52750809,0.268608414,0.072289156,0.4419,0.3645,0.1935,0.1806,0.4419,0.3774,91.89708046,7.053441432,0.1032,115.375,0.471,0.3119,0.7003,0.4695,0.5158,0.843,0.7138,0.4057,0.5825,0.132,0.1482,0.2803,0.332632971,0.266802443,0.097759674,Pedro Alvarez,2495,476883
2015,Lucas Duda,NYM,1.457536858,0.54117647,0.220238095,0.273809523,0.50595238,0.076470588,0.3899,0.3393,0.2708,0.1131,0.497,0.3899,91.77988043,19.81826261,0.1101,114.11,0.4196,0.2859,0.6355,0.4228,0.6051,0.8799,0.7669,0.3916,0.5126,0.0975,0.1796,0.2771,0.358761642,0.249097472,0.119133574,Lucas Duda,2502,446263
2015,Yonder Alonso,SDP,2.79778095,1.76744186,0.229773462,0.491909385,0.278317152,0.104651162,0.3592,0.3851,0.2557,0.1812,0.534,0.2848,87.75180584,7.363114754,0.0324,107.831,0.3333,0.258,0.704,0.4547,0.7048,0.9248,0.855,0.4409,0.5572,0.0656,0.1393,0.2049,0.326860584,0.119402985,0.104477611,Yonder Alonso,2530,475174
2015,Carlos Ruiz,PHI,2.513842735,1.320987654,0.223140495,0.44214876,0.334710743,0.086419753,0.302,0.3633,0.3347,0.2082,0.6327,0.1592,84.88008137,10.09688837,0.0163,104.306,0.1755,0.2366,0.6007,0.413,0.7533,0.9385,0.8839,0.4846,0.6125,0.0477,0.2168,0.2646,0.258866525,0.134375,0.0875,Carlos Ruiz,2579,434563
2015,Brandon Guyer,TBR,5.634652562,1.279569892,0.21189591,0.442379182,0.345724907,0.17204301,0.4473,0.3273,0.2255,0.2073,0.5055,0.2873,87.01811616,13.48856593,0.0327,108.088,0.2909,0.3316,0.7481,0.5217,0.7315,0.8234,0.7917,0.4565,0.6416,0.1087,0.1241,0.2328,0.342160981,0.158441558,0.064935064,Brandon Guyer,2636,446386
2015,Ángel Pagán,SFG,4.869929622,1.248275862,0.232941176,0.425882352,0.34117647,0.020689655,0.3176,0.4071,0.2753,0.1835,0.5835,0.2329,86.20754161,11.76397,0.0047,110.694,0.2235,0.2498,0.6201,0.4145,0.8082,0.9363,0.8935,0.4449,0.5662,0.0442,0.2175,0.2616,0.280045966,0.168784029,0.058076225,Angel Pagan,2918,434636
2015,Mike Napoli,- - -,2.388730058,1.008196721,0.155172413,0.424137931,0.420689655,0.114754098,0.3931,0.3586,0.2483,0.2241,0.4793,0.2966,88.51491057,15.42996505,0.0759,111.569,0.3897,0.2367,0.6407,0.4236,0.6085,0.8319,0.7648,0.4625,0.5736,0.0991,0.1874,0.2866,0.321158113,0.251599147,0.121535181,Mike Napoli,3057,435063
2015,Mitch Moreland,TEX,1.511506806,1.317460317,0.197802197,0.456043956,0.346153846,0.111111111,0.4478,0.3269,0.2253,0.1456,0.4945,0.3599,91.4155599,11.43624946,0.0962,112.545,0.456,0.3039,0.6947,0.4716,0.5783,0.869,0.7621,0.4291,0.5728,0.1117,0.1658,0.2774,0.347758102,0.217475728,0.062135922,Mitch Moreland,3086,519048
2015,Grégor Blanco,SFG,6.255056323,1.493670886,0.242307692,0.453846153,0.303846153,0.11392405,0.4059,0.3801,0.214,0.2103,0.5572,0.2325,87.18571429,10.20318379,0.0221,108.5,0.3173,0.2572,0.6918,0.4433,0.6829,0.9104,0.835,0.4283,0.5833,0.0719,0.1663,0.2382,0.336921104,0.15860215,0.107526881,Gregor Blanco,3123,453923
2015,Shin-Soo Choo,TEX,3.883315497,1.786324786,0.206812652,0.508515815,0.284671532,0.025641025,0.441,0.3422,0.2169,0.1494,0.5229,0.3277,90.94477806,7.652637083,0.0771,111.484,0.4386,0.2423,0.642,0.4167,0.6366,0.8159,0.7572,0.4363,0.5789,0.1009,0.1796,0.2805,0.365021248,0.225114854,0.116385911,Shin-Soo Choo,3174,425783
2015,Brayan Peña,CIN,1.810616921,1.911392405,0.222972972,0.510135135,0.266891891,0.126582278,0.3278,0.404,0.2682,0.2252,0.5695,0.2053,85.61818455,8.047552789,0.0033,104.948,0.1722,0.2537,0.6627,0.4328,0.8115,0.9512,0.9052,0.4381,0.5722,0.041,0.1794,0.2204,0.294520419,0.092643051,0.079019073,Brayan Pena,3231,430910
2015,Welington Castillo,- - -,1.92015599,1.05940594,0.184313725,0.419607843,0.396078431,0.08910891,0.4275,0.3529,0.2196,0.1529,0.4667,0.3804,89.29674615,12.52673061,0.1059,110.539,0.3647,0.2872,0.605,0.4396,0.5654,0.8723,0.7679,0.4794,0.6217,0.1017,0.2117,0.3134,0.320927446,0.243386243,0.066137566,Welington Castillo,3256,456078
2015,Robinson Canó,SEA,2.305796597,1.992424242,0.24184261,0.504798464,0.253358925,0.045454545,0.3628,0.4107,0.2265,0.1651,0.5106,0.3244,91.02686121,5.478451,0.0691,112.502,0.4568,0.3244,0.7319,0.501,0.6906,0.9039,0.8257,0.4335,0.5905,0.0867,0.1472,0.2339,0.335237997,0.158753709,0.063798219,Robinson Cano,3269,429664
2015,Martín Prado,MIA,2.508554459,1.56060606,0.231818181,0.468181818,0.3,0.136363636,0.3107,0.3968,0.2925,0.1678,0.5556,0.2766,89.0359483,9.100990963,0.0204,109.709,0.3333,0.2637,0.5315,0.397,0.7668,0.954,0.8915,0.4977,0.6334,0.0427,0.248,0.2907,0.317659023,0.123411978,0.067150635,Martin Prado,3312,445988
2015,Miguel Montero,CHC,1.201965756,1.19047619,0.255060728,0.404858299,0.340080971,0.023809523,0.3725,0.3806,0.247,0.1619,0.502,0.336,88.3045114,12.15877045,0.081,109.103,0.3522,0.2973,0.757,0.4913,0.5827,0.795,0.7208,0.4221,0.6278,0.1354,0.1269,0.2624,0.328495912,0.255583126,0.121588089,Miguel Montero,3364,471083
